Order Number;Order Line;Outlet;Part;Creation Date;Requested Date;Shipped Date;Requested Quantity;Shipped Quantity
Order_01;1;1;8WW91511052540M;14.01.2017 00:00;14.01.2017;14.01.2017;-1;-1
Order_02;3;1;6YX87639578537D;07.01.2017 00:00;07.01.2017;09.01.2017;12;12
Order_02;7;1;4RQ12578481053J;30.12.2016 00:00;30.12.2016;30.12.2016;2;2
Order_03;1;1;2DS35615142379C;29.12.2016 00:00;29.12.2016;29.12.2016;3;3
Order_03;2;1;5DG98783853149R;27.12.2016 00:00;27.12.2016;06.01.2017;8;8
Order_03;5;1;6TL87424290587L;04.01.2017 00:00;04.01.2017;04.01.2017;5.5;5.5
Order_04;7;1;2CG15479205640M;28.12.2016 00:00;28.12.2016;28.12.2016;5;5
Order_04;12;1;5MI17503293098G;30.12.2016 00:00;31.12.2016;31.12.2016;6;6
Order_05;1;1;10LT38882262598Q;26.12.2016 00:00;26.12.2016;26.12.2016;1;1
Order_06;1;1;9DG12017945528Y;26.12.2016 00:00;26.12.2016;26.12.2016;2;2
Order_07;5;1;9BB71218385038A;04.01.2017 00:00;04.01.2017;04.01.2017;2;2
Order_08;2;1;10OD57818576174M;31.12.2016 00:00;31.12.2016;31.12.2016;1;1
Order_09;1;1;9EN21705838310Q;08.01.2017 00:00;08.01.2017;17.01.2017;1;1
Order_10;1;1;10HV68699525208Z;29.12.2016 00:00;29.12.2016;07.01.2017;1;1
Order_11;2;1;10SO55529479938E;29.12.2016 00:00;29.12.2016;29.12.2016;8;8
Order_12;9;1;1UY99988115496W;28.12.2016 00:00;28.12.2016;28.12.2016;2;2
Order_13;1;1;9EN21705838310Q;31.12.2016 00:00;31.12.2016;31.12.2016;-1;-1
Order_14;9;1;3OB35915287851N;30.12.2016 00:00;30.12.2016;02.01.2017;1;1
Order_14;10;1;4DP79230565166R;06.01.2017 00:00;06.01.2017;06.01.2017;2;2
Order_14;11;1;8XB76584829115D;30.12.2016 00:00;30.12.2016;30.12.2016;2;2
Order_14;12;1;10TC52557647378J;29.12.2016 00:00;29.12.2016;05.01.2017;2;2
Order_15;5;1;9QA73561375619Q;09.01.2017 00:00;09.01.2017;14.01.2017;2;2
Order_16;2;1;2YJ13060377870Z;08.01.2017 00:00;08.01.2017;08.01.2017;2;2
Order_17;1;1;1ZV68217703910Y;31.12.2016 00:00;31.12.2016;31.12.2016;8;8
Order_18;7;1;2YJ13060377870Z;05.01.2017 00:00;05.01.2017;08.01.2017;7;7
