Part;Outlet;Inventory Qty;Costs;MOQ
10AB19558711231O;1;0;2.93;10
10AC80299606208E;1;0;9.86;10
10AF14431423444E;1;0;0.75;100
10AF84028259471J;1;0;40.66;5
10AG33977186962U;1;0;3.84;10
10AH19339774369W;1;0;0.14;100
10AL57772903855H;1;5;1.11;10
10AM12449753115C;1;0;98.73;5
10AM53888972858G;1;0;1.63;10
10AN43344536396Z;1;0;2.19;10
10AQ34992079924W;1;3;1.47;10
10AR31008745250R;1;0;10.03;5
10AT89080487284S;1;0;28.77;5
10AV66120893967D;1;3;20.52;5
10AW17271458632I;1;0;1.45;10
10AY59065894900M;1;0;106.42;5
10AZ80247500493R;1;0;5.75;10
10BA88575095507Q;1;12;0.39;100
10BG88479712102X;1;0;57.96;5
10BG98143019561X;1;7;692.25;5
10BI12889780986E;1;0;12.29;5
10BL55060753192I;1;0;31.44;5
10BL79740810323N;1;0;45.27;5
10BP58916381940I;1;1;3.69;10
10BR91634745498A;1;5;3.91;10
10BT23086328419J;1;0;24.94;5
10BU27393530593H;1;0;1.05;10
10BU42796086657L;1;3;2.83;10
10BW37368879060T;1;0;40.26;5
10BW57683988940Y;1;0;77.67;5
10BY65916743924L;1;0;1.03;10
10BZ44984188590M;1;0;13.67;5
10BZ88453351757M;1;0;10.47;5
10CC66408293677I;1;0;24.54;5
10CF96624506891T;1;0;19.29;5
10CG87629893570R;1;0;125.79;5
10CJ59596711038X;1;0;12.84;5
10CJ75739259300L;1;3;0.52;100
10CL58028443111A;1;2;57.09;5
10CN16902223499B;1;55;0.43;100
10CO26613758752S;1;0;88.08;5
10CP43821330127J;1;0;13.22;5
10CX12349058986K;1;5;4.21;10
10CZ41207068176C;1;0;93.62;5
10DB91951088572W;1;0;1.06;10
10DB97258039488O;1;0;64.32;5
10DF22265777049Z;1;0;1.88;10
10DF60590887543B;1;3;11.35;5
10DG77058073922H;1;5;2.47;10
10DG94550567453G;1;4;1.5;10
10DJ61077328409T;1;0;97.78;5
10DM66898022780B;1;0;0.59;100
10DM77417211955V;1;5;40.74;5
10DN66141533423Z;1;0;11.36;5
10DO28120868593U;1;9;1.15;10
10DO92747978835I;1;0;1.97;10
10DO92920761610C;1;0;0.94;100
10DS45896811209G;1;0;0.06;100
10DT68198254349P;1;2;206.59;5
10DV26439598788A;1;0;27.22;5
10DV45202770566P;1;0;41.09;5
10DY41234835184T;1;0;1.28;10
10DY67444417313K;1;0;104.2;5
10DZ33560530676D;1;0;4.01;10
10EC10482494252M;1;0;45;5
10EK66524451763I;1;0;1.28;10
10EN19709245682Q;1;0;0.23;100
10EP58628119953M;1;0;4.89;10
10EU42435813897E;1;0;1.54;10
10EX38455987655B;1;5;25.8;5
10EX58602675940D;1;0;6.95;10
10EX66184826556P;1;0;13.36;5
10EX89805272087Z;1;0;20.69;5
10FB60520222626U;1;0;11.18;5
10FC45124020723E;1;5;2.21;10
10FH38637925900D;1;0;97.87;5
10FH43083322621G;1;3;54.98;5
10FI47271034623N;1;0;10.96;5
10FL95705091449E;1;2;135.97;5
10FL98950593990Z;1;10;0.28;100
10FM68510762053B;1;0;28.6;5
10FN86644879074Z;1;0;8.04;10
10FO93321674812Q;1;0;45.69;5
10FU78680253320V;1;0;2.11;10
10FV45203685151L;1;0;6.95;10
10FY78599734061R;1;0;1.27;10
10GB31658519414Q;1;0;21.26;5
10GC30575729874F;1;0;738.82;5
10GD19911234584S;1;2;0.57;100
10GG50684718116M;1;1;1.55;10
10GK50959168717S;1;4;4.4;10
10GP10322129620R;1;0;1.37;10
10GQ79728560106Z;1;0;2.46;10
10GR59122083507R;1;2;1.71;10
10GU13847681578Q;1;0;4.58;10
10GU69438587461I;1;0;78.45;5
10GV68925463530M;1;2;60.72;5
10GW28051820095N;1;0;41.85;5
10GW79008630815Y;1;2;281.75;5
10GZ14757718937X;1;0;0.74;100
10HH87500576461I;1;3;2.48;10
10HJ34293324873B;1;0;1.95;10
10HO73201619706S;1;0;4.69;10
10HO74724370628Q;1;0;8.02;10
10HO89153741480X;1;0;40.83;5
10HR76322895924G;1;0;95.85;5
10HR92578286319A;1;2;17.42;5
10HS41266820340G;1;0;19.44;5
10HS76932481281N;1;0;34.45;5
10HV68699525208Z;1;2;534.71;5
10HY40144611345V;1;0;67.42;5
10IE23971949556T;1;0;1.43;10
10IG14500727594O;1;0;0.46;100
10IG99199366751J;1;3;7.61;10
10II32417452919N;1;0;25.59;5
10IL17433966861C;1;0;4.05;10
10IL81728767566S;1;3;28.81;5
10IM10003893476Z;1;7;6.94;10
10IM79753835961A;1;0;4.49;10
10IM87639623046G;1;0;5.76;10
10IN44765720354Q;1;0;0.67;100
10IU66626910995W;1;0;2.84;10
10IV93704759475H;1;23;0.79;100
10JB97474572672V;1;3;4.61;10
10JD91392306964T;1;0;5.08;10
10JE10758784406F;1;2;1.18;10
10JE24014313806I;1;5;3.58;10
10JE51694459767H;1;82;0.03;100
10JE57953910202E;1;0;14.05;5
10JF53094234333M;1;5;19.83;5
10JG68869323266S;1;0;1.75;10
10JG94996909866T;1;2;9.32;5
10JH38199547607E;1;0;12.83;5
10JI68615863417G;1;0;1.65;10
10JI75560824430E;1;0;28.38;5
10JN72622700755M;1;0;2.98;10
10JO34857060933Z;1;0;4.19;10
10JO44311619461H;1;4;0.24;100
10JP51725615771Z;1;5;38.12;5
10JQ37319839086K;1;0;2.1;10
10JR93643516244J;1;0;118.12;5
10JY97724208717P;1;3;504;5
10KB51720718938V;1;0;3.49;10
10KB74801784858Q;1;0;30.49;5
10KD42479842086F;1;0;17.76;5
10KG83762543240A;1;0;9.66;5
10KH79633067025U;1;0;54.26;5
10KI56527471039F;1;0;2.07;10
10KJ22802820061R;1;0;0.98;10
10KL78892852892B;1;0;498.72;5
10KM58621384818I;1;0;0.8;10
10KN41271205450V;1;0;66.72;5
10KO65132753123X;1;0;43.19;5
10KP39274303501L;1;1;179.81;5
10KP50949347206O;1;3;41.41;5
10KT54788604325Z;1;0;94.34;5
10KV67557837991N;1;109;0.5;100
10KW78568716770Q;1;1;1.76;10
10KX70570551177B;1;0;4.03;10
10KZ24752066093R;1;0;1.83;10
10LA92565810333A;1;2;65.65;5
10LC75738006482K;1;0;0.2;100
10LE49021895272O;1;0;17.51;5
10LH12604295773X;1;2;3.99;10
10LH17634368553Z;1;0;184.16;5
10LH92268883346C;1;2;18.31;5
10LL20818695336N;1;2;31.4;5
10LN51914804188E;1;7;2.85;10
10LO35657752577M;1;0;11.17;5
10LS59626510020Z;1;0;187.41;5
10LT38882262598Q;1;3;3.04;10
10LT48463510493N;1;0;9.09;10
10LW41165063591O;1;0;0.83;10
10LW48382013837U;1;0;1.17;10
10LX74000960617L;1;12;24.95;5
10LY19614516307B;1;2;1.59;10
10LZ39158065316F;1;2;14.74;5
10LZ90162796290T;1;3;34.43;5
10ME31481716959K;1;4;13.82;5
10MK16183368381P;1;8;1.07;10
